data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2021.11_11-11-2022,Московская область,18+,76902,13755,3517,1997
2021.11_11-11-2022,Московская область,18-59,53857,5240,1144,298
2021.11_11-11-2022,Московская область,60+,23045,8515,2373,1699
2021.11_11-11-2022,РФ,18+,1517780,366929,89032,57748
2021.11_11-11-2022,РФ,18-59,1003818,131982,19822,6954
2021.11_11-11-2022,РФ,60+,513962,234947,69210,50794
2021.11_11-11-2022,г. Санкт-Петербург,18+,70690,13283,3459,2277
2021.11_11-11-2022,г. Санкт-Петербург,18-59,50374,5194,729,235
2021.11_11-11-2022,г. Санкт-Петербург,60+,20316,8089,2730,2042
2021.12_13-10-2022,Московская область,18+,57936,10313,2333,1501
2021.12_13-10-2022,Московская область,18-59,40414,4008,735,167
2021.12_13-10-2022,Московская область,60+,17522,6305,1598,1334
2021.12_13-10-2022,РФ,18+,830770,217657,57009,35867
2021.12_13-10-2022,РФ,18-59,539630,75608,12045,4032
2021.12_13-10-2022,РФ,60+,291140,142049,44964,31835
2021.12_13-10-2022,г. Санкт-Петербург,18+,57231,12176,3353,2276
2021.12_13-10-2022,г. Санкт-Петербург,18-59,39634,4667,648,260
2021.12_13-10-2022,г. Санкт-Петербург,60+,17597,7509,2705,2016
2022.01_13-10-2022,Московская область,18+,174775,10883,3435,1441
2022.01_13-10-2022,Московская область,18-59,136858,4299,1016,168
2022.01_13-10-2022,Московская область,60+,37917,6584,2419,1273
2022.01_13-10-2022,РФ,18+,2473426,216770,51536,28081
2022.01_13-10-2022,РФ,18-59,1909620,86975,11940,3089
2022.01_13-10-2022,РФ,60+,563806,129795,39596,24992
2022.01_13-10-2022,г. Санкт-Петербург,18+,213666,14073,3123,2077
2022.01_13-10-2022,г. Санкт-Петербург,18-59,169236,6280,601,200
2022.01_13-10-2022,г. Санкт-Петербург,60+,44430,7793,2522,1877
2022.02_01-07-2022,Московская область,18+,186536,9857,3168,1330
2022.02_01-07-2022,Московская область,18-59,133653,2881,637,109
2022.02_01-07-2022,Московская область,60+,52883,6976,2531,1221
2022.02_01-07-2022,РФ,18+,4641494,353715,68985,41331
2022.02_01-07-2022,РФ,18-59,3309883,113027,11296,3503
2022.02_01-07-2022,РФ,60+,1331611,240688,57689,37828
2022.02_01-07-2022,г. Санкт-Петербург,18+,292733,16820,3519,2308
2022.02_01-07-2022,г. Санкт-Петербург,18-59,215121,6207,548,197
2022.02_01-07-2022,г. Санкт-Петербург,60+,77612,10613,2971,2111
2022.03_13-10-2022,Московская область,18+,24803,2307,794,378
2022.03_13-10-2022,Московская область,18-59,14827,541,117,45
2022.03_13-10-2022,Московская область,60+,9976,1766,677,333
2022.03_13-10-2022,РФ,18+,896874,126557,25980,15006
2022.03_13-10-2022,РФ,18-59,522702,32596,4115,1624
2022.03_13-10-2022,РФ,60+,374172,93961,21865,13382
2022.03_13-10-2022,г. Санкт-Петербург,18+,35768,5426,1335,738
2022.03_13-10-2022,г. Санкт-Петербург,18-59,21681,1640,214,69
2022.03_13-10-2022,г. Санкт-Петербург,60+,14087,3786,1121,669
2022.04_13-10-2022,Московская область,18+,11925,1465,328,211
2022.04_13-10-2022,Московская область,18-59,7006,417,76,36
2022.04_13-10-2022,Московская область,60+,4919,1048,252,175
2022.04_13-10-2022,РФ,18+,274719,55536,11423,6419
2022.04_13-10-2022,РФ,18-59,148346,16133,2377,955
2022.04_13-10-2022,РФ,60+,126373,39403,9046,5464
2022.04_13-10-2022,г. Санкт-Петербург,18+,13795,3132,739,462
2022.04_13-10-2022,г. Санкт-Петербург,18-59,7654,947,132,60
2022.04_13-10-2022,г. Санкт-Петербург,60+,6141,2185,607,402
2022.05_01-07-2022,Московская область,18+,6631,1029,186,152
2022.05_01-07-2022,Московская область,18-59,4159,363,44,29
2022.05_01-07-2022,Московская область,60+,2472,666,142,123
2022.05_01-07-2022,РФ,18+,139464,36392,7923,4109
2022.05_01-07-2022,РФ,18-59,78166,11842,1862,748
2022.05_01-07-2022,РФ,60+,61298,24550,6061,3361
2022.05_01-07-2022,г. Санкт-Петербург,18+,7197,2182,557,322
2022.05_01-07-2022,г. Санкт-Петербург,18-59,3910,728,123,44
2022.05_01-07-2022,г. Санкт-Петербург,60+,3287,1454,434,278
2022.06_18-07-2022,Московская область,18+,7912,1139,159,156
2022.06_18-07-2022,Московская область,18-59,5334,423,46,26
2022.06_18-07-2022,Московская область,60+,2578,716,113,130
2022.06_18-07-2022,РФ,18+,102622,25900,5661,2848
2022.06_18-07-2022,РФ,18-59,61137,9137,1418,550
2022.06_18-07-2022,РФ,60+,41485,16763,4243,2298
2022.06_18-07-2022,г. Санкт-Петербург,18+,5144,1716,484,235
2022.06_18-07-2022,г. Санкт-Петербург,18-59,2941,628,101,28
2022.06_18-07-2022,г. Санкт-Петербург,60+,2203,1088,383,207
2022.07_16-08-2022,Московская область,18+,18060,1805,448,176
2022.07_16-08-2022,Московская область,18-59,13064,750,171,36
2022.07_16-08-2022,Московская область,60+,4996,1055,277,140
2022.07_16-08-2022,РФ,18+,203997,26929,5492,2172
2022.07_16-08-2022,РФ,18-59,136434,10695,1561,405
2022.07_16-08-2022,РФ,60+,67563,16234,3931,1767
2022.07_16-08-2022,г. Санкт-Петербург,18+,18141,2252,487,159
2022.07_16-08-2022,г. Санкт-Петербург,18-59,12575,951,129,21
2022.07_16-08-2022,г. Санкт-Петербург,60+,5566,1301,358,138
2022.08_16-09-2022.X,Московская область,18+,67429,4164,958,330
2022.08_16-09-2022.X,Московская область,18-59,47123,1506,276,46
2022.08_16-09-2022.X,Московская область,60+,20306,2658,682,284
2022.08_16-09-2022.X,РФ,18+,1099769,72681,11785,4766
2022.08_16-09-2022.X,РФ,18-59,735674,26994,2928,609
2022.08_16-09-2022.X,РФ,60+,364095,45687,8857,4157
2022.08_16-09-2022.X,г. Санкт-Петербург,18+,96918,6250,1106,543
2022.08_16-09-2022.X,г. Санкт-Петербург,18-59,68760,2510,220,55
2022.08_16-09-2022.X,г. Санкт-Петербург,60+,28158,3740,886,488
2022.09_11-11-2022.X,Московская область,18+,48088,3274,506,319
2022.09_11-11-2022.X,Московская область,18-59,31473,1021,108,48
2022.09_11-11-2022.X,Московская область,60+,16615,2253,398,271
2022.09_11-11-2022.X,РФ,18+,1281299,86969,13091,7715
2022.09_11-11-2022.X,РФ,18-59,818609,28020,2640,952
2022.09_11-11-2022.X,РФ,60+,462690,58949,10451,6763
2022.09_11-11-2022.X,г. Санкт-Петербург,18+,77331,5658,1084,633
2022.09_11-11-2022.X,г. Санкт-Петербург,18-59,52463,2060,189,69
2022.09_11-11-2022.X,г. Санкт-Петербург,60+,24868,3598,895,564
2022.10_13-12-2022.X,Московская область,18+,10340,1373,178,142
2022.10_13-12-2022.X,Московская область,18-59,5863,428,30,19
2022.10_13-12-2022.X,Московская область,60+,4477,945,148,123
2022.10_13-12-2022.X,РФ,18+,328830,40316,6623,4059
2022.10_13-12-2022.X,РФ,18-59,179439,11544,1287,556
2022.10_13-12-2022.X,РФ,60+,149391,28772,5336,3503
2022.10_13-12-2022.X,г. Санкт-Петербург,18+,20495,3337,740,443
2022.10_13-12-2022.X,г. Санкт-Петербург,18-59,11117,1065,128,47
2022.10_13-12-2022.X,г. Санкт-Петербург,60+,9378,2272,612,396
2022.11_21-12-2022,Московская область,18+,5257,820,90,69
2022.11_21-12-2022,Московская область,18-59,3095,247,19,11
2022.11_21-12-2022,Московская область,60+,2162,573,71,58
2022.11_21-12-2022,РФ,18+,166358,26383,4485,2334
2022.11_21-12-2022,РФ,18-59,92399,8175,951,375
2022.11_21-12-2022,РФ,60+,73959,18208,3534,1959
2022.11_21-12-2022,г. Санкт-Петербург,18+,12325,2749,608,336
2022.11_21-12-2022,г. Санкт-Петербург,18-59,6676,892,102,42
2022.11_21-12-2022,г. Санкт-Петербург,60+,5649,1857,506,294
